"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"What Exactly Is Artificial Intelligence? (And How Does It Really Work?)","History of Simple Things","340442","5300","2026-04-07T21:00:58.000Z","00:08:17","video","https://www.youtube.com/watch?v=y6rz71ZBcrU","172"
"What I *actually* do as a data analyst | salary, job, harsh reality","Agatha","488342","17000","2024-01-19T14:00:42.000Z","00:08:44","video","https://www.youtube.com/watch?v=t2VuELCQBHA","455"
"artificial intelligence(SLOWED)","JG","4903010","42000","2025-05-25T18:09:46.000Z","00:02:35","video","https://www.youtube.com/watch?v=F-pMp8AaXvw&list=RDF-pMp8AaXvw&start_radio=1","586"
"The Complete Data Analyst Roadmap","Programming with Mosh","765238","19000","2024-08-06T13:00:37.000Z","00:04:08","video","https://www.youtube.com/watch?v=YRJbhFLLPyE","372"
"Artificial Intelligence: Complete path to 2030","Future Business Tech","49078","1300","2026-07-07T12:00:29.000Z","02:02:03","video","https://www.youtube.com/watch?v=XXaUd0fGpOs","99"
"Dark Sides of Artificial Intelligence | 60 Minutes Full Episodes","60 Minutes","1794059","17000","2025-03-15T11:00:33.000Z","00:53:51","video","https://www.youtube.com/watch?v=LgUjLcxJxVg","2102"
"How to tell if a career in Data Analytics is right for you...","CareerFoundry","752273","26000","2022-09-16T12:00:26.000Z","00:07:12","video","https://www.youtube.com/watch?v=NOJKAzIH8hA","420"
"What I ACTUALLY Do as a Data Analyst","Avery Smith | Data Analyst","6354","240","2026-03-10T13:00:06.000Z","00:10:43","video","https://www.youtube.com/watch?v=uqhQnJ6heA8","16"
"Data Analyst Roadmap 2026 | How I'd learn Data Analytics in 2026","codebasics","108250","3400","2025-12-20T12:30:59.000Z","01:05:35","video","https://www.youtube.com/watch?v=d8U2G2_7dnM","402"
"Power BI for Data Analytics - Full Course for Beginners","Luke Barousse","1159338","23000","2025-06-11T12:00:29.000Z","08:24:31","video","https://www.youtube.com/watch?v=FwjaHCVNBWA","1010"
"Watch me Do a Data Analyst Project in minutes with SQL","Lore So What","262722","9300","2026-02-10T11:15:05.000Z","00:29:29","video","https://www.youtube.com/watch?v=U-JlXWDqvco","173"
"Fastest way to become a self taught data analyst and get a job","Mo Chen","78588","2800","2025-04-16T14:01:26.000Z","00:08:11","video","https://www.youtube.com/watch?v=sF5FyLeSR-8","94"
"SQL for Data Analytics - Learn SQL in 4 Hours","Luke Barousse","1585428","36000","2024-03-11T10:00:11.000Z","04:08:40","video","https://www.youtube.com/watch?v=7mz73uXD9DA","1506"
"Day in the Life of a Data Analyst (Work From Home) | *Realistic*","Coding with Dee","402770","14000","2024-05-31T16:28:22.000Z","00:09:05","video","https://www.youtube.com/watch?v=82uIsqAVVzA","360"
"Introduction to Data Analysis with Excel: 2-Hour Training Tutorial","Simon Sez IT","843881","14000","2023-03-07T16:00:09.000Z","01:53:39","video","https://www.youtube.com/watch?v=kghcAk7l6eA","329"
"Is it even worth it to become a data analyst in 2026?","Mo Chen","26278","773","2026-02-19T14:00:19.000Z","00:04:30","video","https://www.youtube.com/watch?v=A0HXcDkq9OY","87"
"Life as a Data Analyst (tech) | My Corporate London Work Week","Ingrid Emilia","119897","2500","2025-03-01T11:00:09.000Z","00:12:23","video","https://www.youtube.com/watch?v=8_6NNdtnUdw","91"
"Master Data Analysis on Excel in Just 10 Minutes","Kenji Explains","3265589","66000","2023-02-26T18:45:01.000Z","00:11:31","video","https://www.youtube.com/watch?v=_g5roKHj95o","780"
"I Tried 50 Data Analyst Courses. Here Are Top 5","Stefanovic","776176","31000","2024-11-05T13:15:02.000Z","00:08:41","video","https://www.youtube.com/watch?v=X7eAwyMvm2c","442"
"How I’d Become a Data Analyst in 2026 (the full roadmap)","Christine Jiang","217073","11000","2026-01-02T14:01:10.000Z","00:14:36","video","https://www.youtube.com/watch?v=hGCKdMsfU7g","294"
"Introducing Free Data Analyst Course - SQL / Excel / Power BI / Python","Chandoo","311902","11000","2024-07-29T08:00:20.000Z","00:02:50","video","https://www.youtube.com/watch?v=K_1aVbAH98Y","638"
