title,channelName,viewCount,likes,date,duration,type,url,commentsCount,upload_year,upload_month,upload_day,upload_hour,engagement_rate,like_ratio,comment_ratio,popularity_score
"IBM Data Analyst Complete Course | Data Analyst Tutorial For Beginners,",My Lesson,2789063.0,77000.0,2022-11-17 23:08:16+00:00,15:18:23,video,https://www.youtube.com/watch?v=1PAy6d16ADQ,973.0,2022,November,Thursday,23,2.7956700870507407,2.760783818795058,0.034886268255683,1417826.1
How I'd become a data analyst (if i had to start over) in 2026,Agatha,1188690.0,54000.0,2024-01-12 14:00:27+00:00,00:08:56,video,https://www.youtube.com/watch?v=dJA7k58zlA8,1451.0,2024,January,Friday,14,4.664883190739386,4.542816041188199,0.1220671495511866,610835.2
Is Becoming a Data Analyst ACTUALLY Worth It?,Shane Hummus,43699.0,1900.0,2024-10-19 00:00:27+00:00,00:08:59,video,https://www.youtube.com/watch?v=rqfF_4Vig64,78.0,2024,October,Saturday,0,4.526419368864277,4.3479255818210945,0.17849378704318178,22435.1
"Data Analytics Tutorial For Beginners Complete Course | Foundations: Data, Data, Everywhere, Google",My Lesson,659565.0,11000.0,2021-07-09 18:59:11+00:00,02:35:40,video,https://www.youtube.com/watch?v=vqZ1C2elmac,307.0,2021,July,Friday,18,1.7143117054422234,1.6677658759940266,0.046545829448196914,333143.9
What Is AI? | Learn all about artificial intelligence,Learn Bright,532962.0,3800.0,2024-12-05 16:00:26+00:00,00:05:20,video,https://www.youtube.com/watch?v=JcXKbUIebrU,0.0,2024,December,Thursday,16,0.712996423760043,0.712996423760043,0.0,267621.0
What Does a Data Analyst Actually Do?,Alex The Analyst,1132500.0,21000.0,2020-07-29 13:48:00+00:00,00:04:18,video,https://www.youtube.com/watch?v=ywZXpfdqg1o,528.0,2020,July,Wednesday,13,1.9009271523178808,1.8543046357615895,0.04662251655629139,572655.6
This is how you'll become a REMOTE Data Analyst in 2026 (FULL Guide),Matt Mike,104060.0,3600.0,2026-03-23 14:05:49+00:00,00:14:17,video,https://www.youtube.com/watch?v=q5MOKiZzSFA,73.0,2026,March,Monday,14,3.5296944070728427,3.4595425715933117,0.07015183547953104,53124.6
What is Machine Learning?,OxfordSparks,624890.0,4300.0,2017-01-11 08:24:20+00:00,00:02:19,video,https://www.youtube.com/watch?v=f_uwKZIAeM0,96.0,2017,January,Wednesday,8,0.7034838131511145,0.6881211093152395,0.015362703835875114,313754.2
Data Analyst Roadmap 2026 | The NEW Way To Become a Data Analyst,"Jess Ramos | Data, AI, & Tech ⚡️",86327.0,3400.0,2025-10-07 18:51:03+00:00,00:10:53,video,https://www.youtube.com/watch?v=Hk4rRvmZPQ8,163.0,2025,October,Tuesday,18,4.127329804116904,3.938512863878045,0.18881694023885923,44216.1
What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn,3871378.0,42000.0,2019-04-30 14:30:01+00:00,00:05:28,video,https://www.youtube.com/watch?v=ad79nYk2keg,3140.0,2019,April,Tuesday,14,1.1659930908322567,1.0848850202692684,0.08110807056298816,1948917.0
What Exactly Is Artificial Intelligence? (And How Does It Really Work?),History of Simple Things,340442.0,5300.0,2026-04-07 21:00:58+00:00,00:08:17,video,https://www.youtube.com/watch?v=y6rz71ZBcrU,172.0,2026,April,Tuesday,21,1.6073222457863598,1.5567996898150052,0.05052255597135488,171845.4
"What I *actually* do as a data analyst | salary, job, harsh reality",Agatha,488342.0,17000.0,2024-01-19 14:00:42+00:00,00:08:44,video,https://www.youtube.com/watch?v=t2VuELCQBHA,455.0,2024,January,Friday,14,3.5743392950022734,3.4811668871405694,0.09317240786170347,249362.0
artificial intelligence(SLOWED),JG,4903010.0,42000.0,2025-05-25 18:09:46+00:00,00:02:35,video,https://www.youtube.com/watch?v=F-pMp8AaXvw&list=RDF-pMp8AaXvw&start_radio=1,586.0,2025,May,Sunday,18,0.868568491600058,0.8566166497722827,0.011951841827775183,2464222.2
The Complete Data Analyst Roadmap,Programming with Mosh,765238.0,19000.0,2024-08-06 13:00:37+00:00,00:04:08,video,https://www.youtube.com/watch?v=YRJbhFLLPyE,372.0,2024,August,Tuesday,13,2.531500003920349,2.4828876767750687,0.04861232714528029,388393.4
Artificial Intelligence: Complete path to 2030,Future Business Tech,49078.0,1300.0,2026-07-07 12:00:29+00:00,02:02:03,video,https://www.youtube.com/watch?v=XXaUd0fGpOs,99.0,2026,July,Tuesday,12,2.8505644076775747,2.648844696197889,0.2017197114796854,24948.8
Dark Sides of Artificial Intelligence | 60 Minutes Full Episodes,60 Minutes,1794059.0,17000.0,2025-03-15 11:00:33+00:00,00:53:51,video,https://www.youtube.com/watch?v=LgUjLcxJxVg,2102.0,2025,March,Saturday,11,1.0647364440076943,0.9475719583358183,0.1171644856718759,902549.9
How to tell if a career in Data Analytics is right for you...,CareerFoundry,752273.0,26000.0,2022-09-16 12:00:26+00:00,00:07:12,video,https://www.youtube.com/watch?v=NOJKAzIH8hA,420.0,2022,September,Friday,12,3.5120228959433613,3.4561921004741634,0.055830795469198016,384020.5
What I ACTUALLY Do as a Data Analyst,Avery Smith | Data Analyst,6354.0,240.0,2026-03-10 13:00:06+00:00,00:10:43,video,https://www.youtube.com/watch?v=uqhQnJ6heA8,16.0,2026,March,Tuesday,13,4.028958136606862,3.777148253068933,0.2518098835379289,3252.2
Data Analyst Roadmap 2026 | How I'd learn Data Analytics in 2026,codebasics,108250.0,3400.0,2025-12-20 12:30:59+00:00,01:05:35,video,https://www.youtube.com/watch?v=d8U2G2_7dnM,402.0,2025,December,Saturday,12,3.5122401847575055,3.140877598152425,0.3713625866050808,55225.4
Power BI for Data Analytics - Full Course for Beginners,Luke Barousse,1159338.0,23000.0,2025-06-11 12:00:29+00:00,08:24:31,video,https://www.youtube.com/watch?v=FwjaHCVNBWA,1010.0,2025,June,Wednesday,12,2.0710094898985454,1.983890806650002,0.08711868324854356,586771.0
Watch me Do a Data Analyst Project in minutes with SQL,Lore So What,262722.0,9300.0,2026-02-10 11:15:05+00:00,00:29:29,video,https://www.youtube.com/watch?v=U-JlXWDqvco,173.0,2026,February,Tuesday,11,3.6057125021886254,3.539863429785096,0.0658490724035292,134185.6
Fastest way to become a self taught data analyst and get a job,Mo Chen,78588.0,2800.0,2025-04-16 14:01:26+00:00,00:08:11,video,https://www.youtube.com/watch?v=sF5FyLeSR-8,94.0,2025,April,Wednesday,14,3.6824960553774115,3.562884918817122,0.1196111365602891,40152.8
SQL for Data Analytics - Learn SQL in 4 Hours,Luke Barousse,1585428.0,36000.0,2024-03-11 10:00:11+00:00,04:08:40,video,https://www.youtube.com/watch?v=7mz73uXD9DA,1506.0,2024,March,Monday,10,2.365670342645645,2.2706802201046026,0.09499012254104254,803815.2
Day in the Life of a Data Analyst (Work From Home) | *Realistic*,Coding with Dee,402770.0,14000.0,2024-05-31 16:28:22+00:00,00:09:05,video,https://www.youtube.com/watch?v=82uIsqAVVzA,360.0,2024,May,Friday,16,3.5653102266802392,3.4759291903567795,0.08938103632346003,205657.0
Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,Simon Sez IT,843881.0,14000.0,2023-03-07 16:00:09+00:00,01:53:39,video,https://www.youtube.com/watch?v=kghcAk7l6eA,329.0,2023,March,Tuesday,16,1.6979882234580468,1.6590016838867092,0.038986539571337665,426206.3
Is it even worth it to become a data analyst in 2026?,Mo Chen,26278.0,773.0,2026-02-19 14:00:19+00:00,00:04:30,video,https://www.youtube.com/watch?v=A0HXcDkq9OY,87.0,2026,February,Thursday,14,3.2726995966207477,2.9416241723114394,0.33107542430930814,13388.3
Life as a Data Analyst (tech) | My Corporate London Work Week,Ingrid Emilia,119897.0,2500.0,2025-03-01 11:00:09+00:00,00:12:23,video,https://www.youtube.com/watch?v=8_6NNdtnUdw,91.0,2025,March,Saturday,11,2.1610215434914966,2.0851230639632354,0.07589847952826176,60716.7
Master Data Analysis on Excel in Just 10 Minutes,Kenji Explains,3265589.0,66000.0,2023-02-26 18:45:01+00:00,00:11:31,video,https://www.youtube.com/watch?v=_g5roKHj95o,780.0,2023,February,Sunday,18,2.0449603425293263,2.0210749117540514,0.02388543077527515,1652750.5
I Tried 50 Data Analyst Courses. Here Are Top 5,Stefanovic,776176.0,31000.0,2024-11-05 13:15:02+00:00,00:08:41,video,https://www.youtube.com/watch?v=X7eAwyMvm2c,442.0,2024,November,Tuesday,13,4.050885366205603,3.9939395188720086,0.056945847333594445,397476.4
How I’d Become a Data Analyst in 2026 (the full roadmap),Christine Jiang,217073.0,11000.0,2026-01-02 14:01:10+00:00,00:14:36,video,https://www.youtube.com/watch?v=hGCKdMsfU7g,294.0,2026,January,Friday,14,5.202858024719795,5.067419715948091,0.13543830877170351,111895.3
Introducing Free Data Analyst Course - SQL / Excel / Power BI / Python,Chandoo,311902.0,11000.0,2024-07-29 08:00:20+00:00,00:02:50,video,https://www.youtube.com/watch?v=K_1aVbAH98Y,638.0,2024,July,Monday,8,3.7313002160935165,3.526748786477804,0.20455142961571263,159378.6
COMPLETE Data Analytics Portfolio Project in 6 EASY Steps | Python + SQL + Power BI,Amlan Mohanty,742954.0,20000.0,2025-10-15 02:50:02+00:00,01:23:19,video,https://www.youtube.com/watch?v=5PrZvPeUw60,1238.0,2025,October,Wednesday,2,2.8585888224573797,2.691956702568396,0.1666321198889837,377724.6
How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,CodeWithHarry,642291.0,19000.0,2025-12-02 11:30:08+00:00,00:18:47,video,https://www.youtube.com/watch?v=8411fEhNKNc,988.0,2025,December,Tuesday,11,3.111985065959199,2.9581607090866915,0.15382435687250795,327043.1
Data Analyst Roadmap with Free Resources !!,Shakra Shamim,562105.0,28000.0,2024-08-09 14:05:06+00:00,00:12:14,video,https://www.youtube.com/watch?v=r3WuDHyOlv4,1448.0,2024,August,Friday,14,5.238878857153023,4.981275740297631,0.2576031168553918,289742.1
How I Would Learn to be a Data Analyst,Luke Barousse,242058.0,10000.0,2025-01-17 13:00:22+00:00,00:10:21,video,https://www.youtube.com/watch?v=JFA7H1uJ8wU,206.0,2025,January,Friday,13,4.21634484297152,4.131241272752812,0.0851035702187079,124070.2
What is Artificial Intelligence? | Artificial Intelligence In 5 Minutes | AI Explained | Simplilearn,Simplilearn,480853.0,5500.0,2022-12-14 14:46:25+00:00,00:04:45,video,https://www.youtube.com/watch?v=uMzUB89uSxU,301.0,2022,December,Wednesday,14,1.2063977972478075,1.1438007041653062,0.0625970930825013,242136.7
The 10 Stages of Artificial Intelligence,Future Business Tech,1673653.0,27000.0,2023-10-28 10:00:46+00:00,00:11:38,video,https://www.youtube.com/watch?v=tFx_UNW9I1U,2592.0,2023,October,Saturday,10,1.768108443028513,1.613237630500468,0.15487081252804494,845444.9
Artificial Intelligence | 60 Minutes Full Episodes,60 Minutes,9398144.0,96000.0,2023-12-30 13:00:02+00:00,00:53:29,video,https://www.youtube.com/watch?v=aZ5EsdnpLMI,8086.0,2023,December,Saturday,13,1.1075165479481908,1.0214782833716956,0.0860382645764951,4729489.2
Why You Should NOT Become an Entry Level Data Analyst (What To Do Instead),Kedeisha Bryan - Your Data Career Coach,20389.0,979.0,2025-06-06 18:48:08+00:00,00:07:19,video,https://www.youtube.com/watch?v=-QOjn8aL-44,80.0,2025,June,Friday,18,5.193977144538722,4.8016087105792336,0.39236843395948795,10504.2
"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)",freeCodeCamp.org,4145597.0,82000.0,2020-04-15 13:19:55+00:00,04:22:13,video,https://www.youtube.com/watch?v=r-uOLxNrNk8,1102.0,2020,April,Wednesday,13,2.0045846231556035,1.9780022033014786,0.026582419854124753,2097618.9
